year,month,day,hour,Temperature,Dew_PointF,Humidity,Sea_Level_PressureIn,VisibilityMPH,Wind_SpeedMPH,WindDirDegrees,Conditions,Wind_Direction
2014.0,1.0,1.0,0.0,23.0,5.0,46.0,30.2,10.0,8.1,290.0,Clear,WNW
2014.0,1.0,1.0,1.0,21.9,3.9,46.0,30.23,10.0,11.5,290.0,Partly Cloudy,WNW
2014.0,1.0,1.0,2.0,21.9,3.9,46.0,30.25,10.0,12.7,240.0,Clear,WSW
2014.0,1.0,1.0,3.0,21.9,3.0,44.0,30.27,10.0,11.5,250.0,Clear,WSW
2014.0,1.0,1.0,4.0,21.0,3.0,46.0,30.29,10.0,9.2,260.0,Clear,West
2014.0,1.0,1.0,5.0,21.0,3.0,46.0,30.3,10.0,11.5,270.0,Clear,West
2014.0,1.0,1.0,6.0,21.0,3.9,48.0,30.32,10.0,10.4,250.0,Scattered Clouds,WSW
2014.0,1.0,1.0,7.0,19.9,5.0,52.0,30.35,10.0,10.4,230.0,Scattered Clouds,SW
2014.0,1.0,1.0,8.0,23.0,6.1,48.0,30.37,10.0,10.4,260.0,Scattered Clouds,West
2014.0,1.0,1.0,9.0,24.1,5.0,44.0,30.39,10.0,16.1,300.0,Scattered Clouds,WNW
2014.0,1.0,1.0,10.0,26.1,5.0,41.0,30.35,10.0,12.7,280.0,Partly Cloudy,West
2014.0,1.0,1.0,11.0,26.1,5.0,41.0,30.34,10.0,13.8,260.0,Mostly Cloudy,West
2014.0,1.0,1.0,12.0,27.0,5.0,39.0,30.33,10.0,13.8,280.0,Scattered Clouds,West
2014.0,1.0,1.0,13.0,28.0,3.9,36.0,30.33,10.0,8.1,300.0,Mostly Cloudy,WNW
2014.0,1.0,1.0,14.0,27.0,3.9,37.0,30.33,10.0,10.4,270.0,Scattered Clouds,West
2014.0,1.0,1.0,15.0,27.0,5.0,39.0,30.35,10.0,10.4,290.0,Mostly Cloudy,WNW
2014.0,1.0,1.0,16.0,26.1,5.0,41.0,30.35,10.0,6.9,340.0,Mostly Cloudy,NNW
2014.0,1.0,1.0,17.0,25.0,5.0,43.0,30.37,10.0,9.2,320.0,Scattered Clouds,NW
2014.0,1.0,1.0,18.0,24.1,6.1,46.0,30.37,10.0,4.6,10.0,Partly Cloudy,North
2014.0,1.0,1.0,19.0,24.1,5.0,44.0,30.38,10.0,6.9,360.0,Partly Cloudy,North
2014.0,1.0,1.0,20.0,23.0,5.0,46.0,30.38,10.0,4.6,350.0,Scattered Clouds,North
2014.0,1.0,1.0,21.0,21.9,7.0,53.0,30.39,10.0,3.5,20.0,Mostly Cloudy,NNE
2014.0,1.0,1.0,22.0,23.0,6.1,48.0,30.4,10.0,3.5,360.0,Overcast,North
2014.0,1.0,1.0,23.0,23.0,7.0,50.0,30.38,10.0,6.9,20.0,Overcast,NNE
2014.0,1.0,2.0,0.0,21.0,10.9,65.0,30.36,4.0,6.9,20.0,Light Snow,NNE
