Account,Date,kWh,month,day,year,hour,Day of Week,Weekday,Peakhour,Temperature,Dew_PointF,Humidity,Sea_Level_PressureIn,VisibilityMPH,Wind_SpeedMPH,WindDirDegrees,Conditions,Wind_Direction
26908650026,1/1/2014,132.369999,1,1,2014,0,3,1,0,23,5,46,30.2,10,8.1,290,Clear,WNW
26908650026,1/1/2014,132.719997,1,1,2014,1,3,1,0,21.9,3.9,46,30.23,10,11.5,290,Partly Cloudy,WNW
26908650026,1/1/2014,129.029997,1,1,2014,2,3,1,0,21.9,3.9,46,30.25,10,12.7,240,Clear,WSW
26908650026,1/1/2014,125.759998,1,1,2014,3,3,1,0,21.9,3,44,30.27,10,11.5,250,Clear,WSW
26908650026,1/1/2014,129.389997,1,1,2014,4,3,1,0,21,3,46,30.29,10,9.2,260,Clear,West
26908650026,1/1/2014,132.509998,1,1,2014,5,3,1,0,21,3,46,30.3,10,11.5,270,Clear,West
26908650026,1/1/2014,134.929996,1,1,2014,6,3,1,0,21,3.9,48,30.32,10,10.4,250,Scattered Clouds,WSW
26908650026,1/1/2014,122.809998,1,1,2014,7,3,1,1,19.9,5,52,30.35,10,10.4,230,Scattered Clouds,SW
26908650026,1/1/2014,119.959996,1,1,2014,8,3,1,1,23,6.1,48,30.37,10,10.4,260,Scattered Clouds,West
26908650026,1/1/2014,123.159999,1,1,2014,9,3,1,1,24.1,5,44,30.39,10,16.1,300,Scattered Clouds,WNW
26908650026,1/1/2014,129.109998,1,1,2014,10,3,1,1,26.1,5,41,30.35,10,12.7,280,Partly Cloudy,West
26908650026,1/1/2014,125.829996,1,1,2014,11,3,1,1,26.1,5,41,30.34,10,13.8,260,Mostly Cloudy,West
26908650026,1/1/2014,120.909997,1,1,2014,12,3,1,1,27,5,39,30.33,10,13.8,280,Scattered Clouds,West
26908650026,1/1/2014,125.199997,1,1,2014,13,3,1,1,28,3.9,36,30.33,10,8.1,300,Mostly Cloudy,WNW
26908650026,1/1/2014,128.589997,1,1,2014,14,3,1,1,27,3.9,37,30.33,10,10.4,270,Scattered Clouds,West
26908650026,1/1/2014,143.169998,1,1,2014,15,3,1,1,27,5,39,30.35,10,10.4,290,Mostly Cloudy,WNW
26908650026,1/1/2014,139.999998,1,1,2014,16,3,1,1,26.1,5,41,30.35,10,6.9,340,Mostly Cloudy,NNW
26908650026,1/1/2014,138.639995,1,1,2014,17,3,1,1,25,5,43,30.37,10,9.2,320,Scattered Clouds,NW
26908650026,1/1/2014,143.199999,1,1,2014,18,3,1,1,24.1,6.1,46,30.37,10,4.6,10,Partly Cloudy,North
26908650026,1/1/2014,147.119998,1,1,2014,19,3,1,0,24.1,5,44,30.38,10,6.9,360,Partly Cloudy,North
26908650026,1/1/2014,147.829998,1,1,2014,20,3,1,0,23,5,46,30.38,10,4.6,350,Scattered Clouds,North
26908650026,1/1/2014,134.879996,1,1,2014,21,3,1,0,21.9,7,53,30.39,10,3.5,20,Mostly Cloudy,NNE
26908650026,1/1/2014,128.909999,1,1,2014,22,3,1,0,23,6.1,48,30.4,10,3.5,360,Overcast,North
26908650026,1/1/2014,124.499995,1,1,2014,23,3,1,0,23,7,50,30.38,10,6.9,20,Overcast,NNE
26908650026,1/2/2014,121.129999,1,2,2014,0,4,1,0,21,10.9,65,30.36,4,6.9,20,Light Snow,NNE
26908650026,1/2/2014,125.779996,1,2,2014,1,4,1,0,20.16666667,13.76666667,76.33333333,30.36,2.033333333,8.1,20,"Light Snow, Light Snow, Light Snow","NNE, NNE, NNE"
26908650026,1/2/2014,128.329999,1,2,2014,2,4,1,0,19.2,14.9,83.5,30.35,2,9.2,20,"Light Snow, Light Snow","NNE, NNE"
26908650026,1/2/2014,130.989996,1,2,2014,3,4,1,0,19.2,14,80.5,30.345,1.65,9.2,10,"Light Snow, Light Snow","North, North"
26908650026,1/2/2014,222.729997,1,2,2014,4,4,1,0,19.2,14,80.5,30.32,2.15,10.95,10,"Light Snow, Light Snow","North, North"
26908650026,1/2/2014,223.929996,1,2,2014,5,4,1,0,19.26666667,14,80.33333333,30.31666667,2.266666667,12.7,13.33333333,"Light Snow, Light Snow, Light Snow","North, NNE, North"
26908650026,1/2/2014,229.409993,1,2,2014,6,4,1,0,19.26666667,15.56666667,85.66666667,30.3,2.666666667,13.03333333,10,"Light Snow, Light Snow, Light Snow","North, North, North"
26908650026,1/2/2014,239.929992,1,2,2014,7,4,1,1,19.2,15.45,85.5,30.29,1.65,13.8,10,"Light Snow, Light Snow","North, North"
26908650026,1/2/2014,247.729993,1,2,2014,8,4,1,1,19.56666667,15.86666667,85.66666667,30.27333333,0.5,13.06666667,130,"Light Snow, Snow, Snow","North, North, NNE"
26908650026,1/2/2014,248.839992,1,2,2014,9,4,1,1,24.1,21,88,30.25,0.5,18.4,40,Snow,NE
26908650026,1/2/2014,250.669996,1,2,2014,10,4,1,1,25.8,21.1,82.5,30.225,0.5,23.6,50,"Snow, Snow","NE, NE"
26908650026,1/2/2014,246.789998,1,2,2014,11,4,1,1,24.56666667,19.56666667,81.33333333,30.16666667,0.5,26.46666667,50,"Snow, Snow, Light Snow","NE, NE, NE"
26908650026,1/2/2014,244.689993,1,2,2014,12,4,1,1,24.1,19.9,84,30.12,0.5,21.9,40,Light Snow,NE
26908650026,1/2/2014,245.039997,1,2,2014,13,4,1,1,25.83333333,21.13333333,82.33333333,30.08333333,0.5,26.1,53.33333333,"Light Snow, Light Snow, Light Snow","ENE, NE, NE"
26908650026,1/2/2014,241.149993,1,2,2014,14,4,1,1,19.9,16,85,30.05,0.5,11.5,360,Snow,North
26908650026,1/2/2014,245.899995,1,2,2014,15,4,1,1,13.95,9.375,81.75,30.0425,0.5,14.1,350,"Snow, Snow, Snow, Snow","North, North, North, North"
26908650026,1/2/2014,253.589992,1,2,2014,16,4,1,1,12.13333333,8.433333333,84.66666667,30.01666667,1.066666667,14.6,346.6666667,"Light Snow, Light Snow, Light Snow","North, North, NNW"
26908650026,1/2/2014,196.179994,1,2,2014,17,4,1,1,10.3,6.625,84.75,30,0.2,17.575,350,"Light Snow, Light Snow, Heavy Snow, Heavy Snow","North, North, North, North"
26908650026,1/2/2014,147.259994,1,2,2014,18,4,1,1,8.1,3,80,30,0.2,19.6,350,Snow,North
26908650026,1/2/2014,154.239998,1,2,2014,19,4,1,0,6.1,1,80,29.95,0.2,19.6,360,Snow,North
26908650026,1/2/2014,156.749995,1,2,2014,20,4,1,0,6.45,1.2,79.5,29.945,0.2,22.45,360,"Snow, Snow","North, North"
26908650026,1/2/2014,132.92,1,2,2014,21,4,1,0,4.45,-0.2,81,29.89,0.2,22.45,360,"Snow, Snow","North, North"
26908650026,1/2/2014,127.549998,1,2,2014,22,4,1,0,3.1,-1.2,82.5,29.875,0.2,22.45,360,"Snow, Snow","North, North"
26908650026,1/2/2014,124.229998,1,2,2014,23,4,1,0,2.766666667,-2.433333333,78.66666667,29.86,0.2,22.63333333,360,"Snow, Snow, Snow","North, North, North"
26908650026,1/3/2014,125.209998,1,3,2014,0,5,1,0,1.566666667,-2.433333333,83.33333333,29.83333333,0.2,23.03333333,360,"Snow, Snow, Snow","North, North, North"
26908650026,1/3/2014,125.469998,1,3,2014,1,5,1,0,1.9,-4,76,29.81,0.2,21.9,360,Snow,North
26908650026,1/3/2014,123.449998,1,3,2014,2,5,1,0,1.9,-4,76,29.77,0.8,19.6,360,Snow,North
26908650026,1/3/2014,123.879999,1,3,2014,3,5,1,0,1.9,-2.9,80,29.74,0.5,24.2,360,Snow,North
26908650026,1/3/2014,123.119999,1,3,2014,4,5,1,0,1.65,-2.55,82.5,29.725,0.5,22.45,355,"Snow, Snow","North, North"
26908650026,1/3/2014,123.309997,1,3,2014,5,5,1,0,3.1,-2.1,79,29.745,0.5,21.85,345,"Snow, Snow","NNW, North"
26908650026,1/3/2014,204.809991,1,3,2014,6,5,1,0,3.1,-2.1,79,29.795,0.65,20.15,345,"Light Snow, Snow","NNW, North"
26908650026,1/3/2014,227.889997,1,3,2014,7,5,1,1,3.9,-2,76,29.84,0.8,17.3,340,Light Snow,NNW
26908650026,1/3/2014,226.989997,1,3,2014,8,5,1,1,5,-2,73,29.86,1,15,340,Light Snow,NNW
26908650026,1/3/2014,226.64999,1,3,2014,9,5,1,1,6.1,0,76,29.91,1.5,20.7,350,Light Snow,North
26908650026,1/3/2014,225.819998,1,3,2014,10,5,1,1,8.8,1.2,71.5,29.925,2.25,20.15,350,"Light Snow, Blowing Snow","North, North"
26908650026,1/3/2014,224.139996,1,3,2014,11,5,1,1,9.75,0.3,65.5,29.945,6,16.1,345,"Blowing Snow, Blowing Snow","North, NNW"
26908650026,1/3/2014,224.269993,1,3,2014,12,5,1,1,12,1,61,29.97,10,16.1,340,Mostly Cloudy,NNW
26908650026,1/3/2014,223.819995,1,3,2014,13,5,1,1,14,1,56,30.01,10,12.7,320,Mostly Cloudy,NW
26908650026,1/3/2014,223.499993,1,3,2014,14,5,1,1,14,0,54,30.06,10,16.1,310,Mostly Cloudy,NW
26908650026,1/3/2014,225.069994,1,3,2014,15,5,1,1,12.9,-2.9,49,30.13,10,13.8,310,Scattered Clouds,NW
