,Time,TimeEDT,TemperatureF,Dew_PointF,Humidity,Sea_Level_PressureIn,VisibilityMPH,Wind_Direction,Wind_SpeedMPH,Gust_SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
1,10/1/2016 0:05,12:05 AM,57.9,57,97,30.35,10,NE,15,-,0,Rain,Light Rain,50,10/1/2016 4:05
2,10/1/2016 0:29,12:29 AM,57.9,57,97,30.34,10,NE,15,-,0,,Overcast,50,10/1/2016 4:29
3,10/1/2016 0:54,12:54 AM,57.9,57,97,30.34,6,NE,18.4,-,0,Rain,Light Rain,50,10/1/2016 4:54
4,10/1/2016 1:16,1:16 AM,57.9,57,97,30.34,2.5,NE,19.6,-,0.01,Rain,Rain,50,10/1/2016 5:16
5,10/1/2016 1:23,1:23 AM,57.9,57,97,30.34,3,NE,18.4,-,0.02,Rain,Light Rain,50,10/1/2016 5:23
6,10/1/2016 1:54,1:54 AM,57.9,57,97,30.33,2.5,NE,16.1,-,0.08,Rain,Heavy Rain,50,10/1/2016 5:54
7,10/1/2016 2:03,2:03 AM,57.9,57,97,30.33,4,ENE,18.4,-,0.01,Rain,Light Rain,60,10/1/2016 6:03
8,10/1/2016 2:10,2:10 AM,57.9,57,97,30.33,4,NE,17.3,-,0.02,Rain,Light Rain,50,10/1/2016 6:10
9,10/1/2016 2:43,2:43 AM,57.9,57,97,30.32,6,NE,17.3,24.2,0.04,Rain,Light Rain,50,10/1/2016 6:43
10,10/1/2016 2:54,2:54 AM,57.9,57,97,30.31,5,NE,16.1,-,0.04,Rain,Light Rain,50,10/1/2016 6:54
11,10/1/2016 3:21,3:21 AM,57,57,100,30.31,3,NE,19.6,-,0.01,Rain,Light Rain,50,10/1/2016 7:21
12,10/1/2016 3:54,3:54 AM,57,57,100,30.3,4,NE,18.4,27.6,0.02,Rain,Light Rain,50,10/1/2016 7:54
13,10/1/2016 4:16,4:16 AM,57,57,100,30.3,6,NE,18.4,-,0.01,Rain,Light Rain,50,10/1/2016 8:16
14,10/1/2016 4:54,4:54 AM,57,57,100,30.3,2.5,NE,15,-,0.02,Rain,Light Rain,50,10/1/2016 8:54
15,10/1/2016 5:19,5:19 AM,57,57,100,30.3,4,NE,17.3,-,0.07,Rain,Light Rain,50,10/1/2016 9:19
16,10/1/2016 5:54,5:54 AM,57,57,100,30.31,2.5,NE,18.4,24.2,0.09,Rain,Light Rain,50,10/1/2016 9:54
