Date,month,Day,Year,hour,Peakhour,Temperature,Dew_PointF,Humidity
2016-10-01,10,1,2016,0,0.0,57.9,57.0,97.0
2016-10-01,10,1,2016,1,0.0,57.9,57.0,97.0
2016-10-01,10,1,2016,2,0.0,57.9,57.0,97.0
2016-10-01,10,1,2016,3,0.0,57.0,57.0,100.0
2016-10-01,10,1,2016,4,0.0,57.0,57.0,100.0
2016-10-01,10,1,2016,5,0.0,57.0,57.0,100.0
2016-10-01,10,1,2016,6,0.0,57.0,57.0,100.0
2016-10-01,10,1,2016,7,1.0,55.9,55.9,100.0
2016-10-01,10,1,2016,8,1.0,55.9,55.9,100.0
2016-10-01,10,1,2016,9,1.0,55.9,55.9,100.0
2016-10-01,10,1,2016,10,1.0,57.0,56.45,98.0
2016-10-01,10,1,2016,11,1.0,57.45,57.0,98.5
2016-10-01,10,1,2016,12,1.0,57.9,57.9,100.0
2016-10-01,10,1,2016,13,1.0,57.9,57.9,100.0
2016-10-01,10,1,2016,14,1.0,57.0,57.0,100.0
2016-10-01,10,1,2016,15,1.0,55.9,55.9,100.0
2016-10-01,10,1,2016,16,1.0,55.0,55.0,100.0
2016-10-01,10,1,2016,17,1.0,55.0,55.0,100.0
2016-10-01,10,1,2016,18,1.0,55.9,55.0,97.0
2016-10-01,10,1,2016,19,0.0,55.9,55.45,98.5
2016-10-01,10,1,2016,20,0.0,55.0,54.0,96.0
2016-10-01,10,1,2016,21,0.0,55.0,53.1,93.0
2016-10-01,10,1,2016,22,0.0,55.0,54.5,98.0
2016-10-01,10,1,2016,23,0.0,55.0,55.0,100.0
2016-10-02,10,2,2016,0,0.0,55.45,55.0,98.5
2016-10-02,10,2,2016,1,0.0,54.0,54.0,100.0
2016-10-02,10,2,2016,2,0.0,53.1,53.1,100.0
2016-10-02,10,2,2016,3,0.0,53.1,53.1,100.0
2016-10-02,10,2,2016,4,0.0,54.0,54.0,100.0
2016-10-02,10,2,2016,5,0.0,53.8,53.8,100.0
2016-10-02,10,2,2016,6,0.0,54.0,54.0,100.0
2016-10-02,10,2,2016,7,1.0,54.0,53.1,97.0
2016-10-02,10,2,2016,8,1.0,54.0,54.0,100.0
2016-10-02,10,2,2016,9,1.0,55.0,54.0,96.0
2016-10-02,10,2,2016,10,1.0,55.9,54.0,93.0
2016-10-02,10,2,2016,11,1.0,55.9,54.0,93.0
2016-10-02,10,2,2016,12,1.0,55.9,54.0,93.0
2016-10-02,10,2,2016,13,1.0,56.45,54.0,91.0
2016-10-02,10,2,2016,14,1.0,55.7333333333,54.2,94.6666666667
2016-10-02,10,2,2016,15,1.0,56.45,54.0,91.0
2016-10-02,10,2,2016,16,1.0,57.0,53.1,87.0
2016-10-02,10,2,2016,17,1.0,55.9,54.0,93.0
2016-10-02,10,2,2016,18,1.0,57.0,54.0,89.0
2016-10-02,10,2,2016,19,0.0,55.9,54.0,93.0
2016-10-02,10,2,2016,20,0.0,55.9,54.0,93.0
2016-10-02,10,2,2016,21,0.0,55.9,54.0,93.0
2016-10-02,10,2,2016,22,0.0,56.45,54.0,91.0
2016-10-02,10,2,2016,23,0.0,55.9,54.0,93.0
2016-10-03,10,3,2016,0,0.0,55.9,54.0,93.0
2016-10-03,10,3,2016,1,0.0,55.9,54.0,93.0
2016-10-03,10,3,2016,2,0.0,55.9,54.0,93.0
2016-10-03,10,3,2016,3,0.0,55.9,55.0,97.0
2016-10-03,10,3,2016,4,0.0,55.9,55.0,97.0
2016-10-03,10,3,2016,5,0.0,57.0,55.0,93.0
2016-10-03,10,3,2016,6,0.0,57.45,55.0,91.5
2016-10-03,10,3,2016,7,1.0,57.9,55.9,93.0
2016-10-03,10,3,2016,8,1.0,62.1,55.9,80.0
2016-10-03,10,3,2016,9,1.0,64.0,55.9,75.0
2016-10-03,10,3,2016,10,1.0,66.0,55.9,70.0
2016-10-03,10,3,2016,11,1.0,66.9,57.9,73.0
2016-10-03,10,3,2016,12,1.0,66.0,57.0,73.0
2016-10-03,10,3,2016,13,1.0,64.9,57.9,78.0
2016-10-03,10,3,2016,14,1.0,64.0,55.9,75.0
2016-10-03,10,3,2016,15,1.0,64.0,55.9,75.0
2016-10-03,10,3,2016,16,1.0,62.1,57.0,84.0
2016-10-03,10,3,2016,17,1.0,59.0,57.0,93.0
2016-10-03,10,3,2016,18,1.0,59.0,57.0,93.0
2016-10-03,10,3,2016,19,0.0,59.0,57.9,96.0
2016-10-03,10,3,2016,20,0.0,59.7333333333,57.6,93.0
2016-10-03,10,3,2016,21,0.0,60.1,57.0,90.0
2016-10-03,10,3,2016,22,0.0,59.0,55.9,90.0
2016-10-03,10,3,2016,23,0.0,58.45,56.45,93.0
2016-10-04,10,4,2016,0,0.0,59.0,55.0,87.0
2016-10-04,10,4,2016,1,0.0,59.0,55.0,87.0
2016-10-04,10,4,2016,2,0.0,59.0,53.1,81.0
2016-10-04,10,4,2016,3,0.0,57.9,54.0,87.0
2016-10-04,10,4,2016,4,0.0,57.9,55.0,90.0
2016-10-04,10,4,2016,5,0.0,57.9,55.0,90.0
2016-10-04,10,4,2016,6,0.0,58.45,56.45,93.0
2016-10-04,10,4,2016,7,1.0,60.1,55.45,84.5
2016-10-04,10,4,2016,8,1.0,61.0,55.0,81.0
2016-10-04,10,4,2016,9,1.0,62.1,55.0,78.0
2016-10-04,10,4,2016,10,1.0,62.55,54.05,73.5
2016-10-04,10,4,2016,11,1.0,62.1,52.0,70.0
2016-10-04,10,4,2016,12,1.0,61.0,51.1,70.0
2016-10-04,10,4,2016,13,1.0,61.0,51.1,70.0
2016-10-04,10,4,2016,14,1.0,60.1,50.0,69.0
2016-10-04,10,4,2016,15,1.0,60.1,48.0,64.0
2016-10-04,10,4,2016,16,1.0,57.9,46.9,67.0
2016-10-04,10,4,2016,17,1.0,55.9,46.9,72.0
2016-10-04,10,4,2016,18,1.0,55.0,45.0,69.0
2016-10-04,10,4,2016,19,0.0,55.0,48.0,77.0
2016-10-04,10,4,2016,20,0.0,54.0,48.0,80.0
2016-10-04,10,4,2016,21,0.0,53.1,46.9,80.0
2016-10-04,10,4,2016,22,0.0,52.0,48.0,86.0
2016-10-04,10,4,2016,23,0.0,51.1,46.9,86.0
2016-10-05,10,5,2016,0,0.0,50.0,46.9,89.0
2016-10-05,10,5,2016,1,0.0,50.0,46.0,86.0
2016-10-05,10,5,2016,2,0.0,50.0,46.0,86.0
2016-10-05,10,5,2016,3,0.0,48.0,45.0,89.0
2016-10-05,10,5,2016,4,0.0,48.9,46.0,90.0
2016-10-05,10,5,2016,6,0.0,48.9,46.0,90.0
2016-10-05,10,5,2016,7,1.0,51.1,46.9,86.0
2016-10-05,10,5,2016,8,1.0,55.0,48.9,80.0
2016-10-05,10,5,2016,9,1.0,57.9,50.0,75.0
2016-10-05,10,5,2016,10,1.0,59.0,48.9,69.0
2016-10-05,10,5,2016,11,1.0,59.0,48.9,69.0
2016-10-05,10,5,2016,12,1.0,60.1,48.9,67.0
2016-10-05,10,5,2016,13,1.0,59.0,48.9,69.0
2016-10-05,10,5,2016,14,1.0,59.0,48.0,67.0
2016-10-05,10,5,2016,15,1.0,57.9,48.9,72.0
2016-10-05,10,5,2016,16,1.0,57.0,48.0,72.0
2016-10-05,10,5,2016,17,1.0,55.9,48.0,75.0
2016-10-05,10,5,2016,18,1.0,55.0,48.0,77.0
2016-10-05,10,5,2016,19,0.0,55.0,48.0,77.0
2016-10-05,10,5,2016,20,0.0,55.0,48.9,80.0
2016-10-05,10,5,2016,21,0.0,55.0,48.9,80.0
2016-10-05,10,5,2016,22,0.0,54.0,48.9,83.0
2016-10-05,10,5,2016,23,0.0,52.0,48.9,89.0
2016-10-06,10,6,2016,0,0.0,52.0,48.0,86.0
2016-10-06,10,6,2016,1,0.0,51.1,48.0,89.0
2016-10-06,10,6,2016,2,0.0,50.0,48.0,93.0
2016-10-06,10,6,2016,3,0.0,51.1,48.0,89.0
2016-10-06,10,6,2016,4,0.0,50.0,46.9,89.0
2016-10-06,10,6,2016,5,0.0,48.9,46.9,93.0
2016-10-06,10,6,2016,6,0.0,48.9,46.0,90.0
2016-10-06,10,6,2016,7,1.0,52.0,48.0,86.0
2016-10-06,10,6,2016,8,1.0,55.0,48.0,77.0
2016-10-06,10,6,2016,9,1.0,57.9,46.9,67.0
2016-10-06,10,6,2016,10,1.0,59.0,48.9,69.0
2016-10-06,10,6,2016,11,1.0,62.1,48.0,60.0
2016-10-06,10,6,2016,12,1.0,63.0,48.0,58.0
2016-10-06,10,6,2016,13,1.0,64.0,46.0,52.0
2016-10-06,10,6,2016,14,1.0,66.0,36.0,33.0
2016-10-06,10,6,2016,15,1.0,64.0,46.0,52.0
2016-10-06,10,6,2016,16,1.0,64.0,46.9,54.0
2016-10-06,10,6,2016,17,1.0,63.0,48.9,60.0
2016-10-06,10,6,2016,18,1.0,61.0,53.1,75.0
2016-10-06,10,6,2016,19,0.0,61.0,55.9,83.0
2016-10-06,10,6,2016,20,0.0,60.1,54.0,80.0
2016-10-06,10,6,2016,21,0.0,59.0,53.1,81.0
2016-10-06,10,6,2016,22,0.0,57.0,53.1,87.0
2016-10-06,10,6,2016,23,0.0,55.9,53.1,90.0
2016-10-07,10,7,2016,0,0.0,54.0,53.1,97.0
2016-10-07,10,7,2016,1,0.0,55.9,51.1,84.0
2016-10-07,10,7,2016,2,0.0,54.0,51.1,90.0
2016-10-07,10,7,2016,3,0.0,57.0,50.0,77.0
2016-10-07,10,7,2016,4,0.0,54.0,50.0,86.0
2016-10-07,10,7,2016,5,0.0,54.0,48.0,80.0
2016-10-07,10,7,2016,6,0.0,54.0,48.0,80.0
2016-10-07,10,7,2016,7,1.0,57.0,48.9,74.0
2016-10-07,10,7,2016,8,1.0,60.1,50.0,69.0
2016-10-07,10,7,2016,9,1.0,64.0,52.0,65.0
2016-10-07,10,7,2016,10,1.0,64.9,53.1,65.0
2016-10-07,10,7,2016,11,1.0,66.0,53.1,63.0
2016-10-07,10,7,2016,13,1.0,66.9,54.0,63.0
2016-10-07,10,7,2016,14,1.0,66.0,55.0,68.0
2016-10-07,10,7,2016,15,1.0,64.9,57.0,75.0
2016-10-07,10,7,2016,16,1.0,64.9,57.9,78.0
2016-10-07,10,7,2016,17,1.0,63.0,57.9,84.0
2016-10-07,10,7,2016,18,1.0,63.0,57.0,81.0
2016-10-07,10,7,2016,19,0.0,63.0,55.9,78.0
2016-10-07,10,7,2016,20,0.0,62.1,55.0,78.0
2016-10-07,10,7,2016,21,0.0,60.1,55.9,86.0
2016-10-07,10,7,2016,22,0.0,59.0,55.0,87.0
2016-10-07,10,7,2016,23,0.0,59.0,53.1,81.0
2016-10-08,10,8,2016,0,0.0,57.9,53.1,84.0
2016-10-08,10,8,2016,1,0.0,55.9,53.1,90.0
2016-10-08,10,8,2016,2,0.0,54.0,52.0,93.0
2016-10-08,10,8,2016,3,0.0,54.0,52.0,93.0
2016-10-08,10,8,2016,4,0.0,54.0,51.1,90.0
2016-10-08,10,8,2016,5,0.0,52.0,51.1,97.0
2016-10-08,10,8,2016,6,0.0,53.1,52.0,96.0
2016-10-08,10,8,2016,7,1.0,53.1,53.1,100.0
2016-10-08,10,8,2016,8,1.0,55.9,54.0,93.0
2016-10-08,10,8,2016,9,1.0,57.9,55.9,93.0
2016-10-08,10,8,2016,10,1.0,59.0,57.0,93.0
2016-10-08,10,8,2016,11,1.0,63.0,57.0,81.0
2016-10-08,10,8,2016,12,1.0,64.0,57.0,78.0
2016-10-08,10,8,2016,13,1.0,64.0,57.9,80.0
2016-10-08,10,8,2016,14,1.0,63.5,59.55,87.0
2016-10-08,10,8,2016,15,1.0,64.9,61.0,87.0
2016-10-08,10,8,2016,16,1.0,65.9,62.0,87.0
2016-10-08,10,8,2016,17,1.0,66.9,62.1,84.0
2016-10-08,10,8,2016,18,1.0,66.9,62.1,84.0
2016-10-08,10,8,2016,19,0.0,66.45,62.1,85.5
2016-10-08,10,8,2016,20,0.0,66.0,62.1,87.0
2016-10-08,10,8,2016,21,0.0,64.9,62.1,90.0
2016-10-08,10,8,2016,22,0.0,64.9,62.1,90.0
2016-10-08,10,8,2016,23,0.0,64.0,63.0,96.0
2016-10-09,10,9,2016,0,0.0,63.0,63.0,100.0
2016-10-09,10,9,2016,1,0.0,63.95,63.5,98.5
2016-10-09,10,9,2016,2,0.0,64.0,64.0,100.0
2016-10-09,10,9,2016,3,0.0,64.0,62.1,93.0
2016-10-09,10,9,2016,4,0.0,63.0,62.1,97.0
2016-10-09,10,9,2016,5,0.0,63.0,62.1,97.0
2016-10-09,10,9,2016,6,0.0,62.0,61.1,97.0
2016-10-09,10,9,2016,7,1.0,59.0,59.0,100.0
2016-10-09,10,9,2016,8,1.0,57.0,57.0,100.0
2016-10-09,10,9,2016,9,1.0,57.0,57.0,100.0
2016-10-09,10,9,2016,10,1.0,55.0,54.0,96.0
2016-10-09,10,9,2016,11,1.0,55.0,54.0,96.0
2016-10-09,10,9,2016,12,1.0,54.0,54.0,100.0
2016-10-09,10,9,2016,13,1.0,54.0,53.1,97.0
2016-10-09,10,9,2016,14,1.0,53.1,51.55,94.5
2016-10-09,10,9,2016,15,1.0,52.55,51.1,95.0
2016-10-09,10,9,2016,16,1.0,52.0,51.1,97.0
2016-10-09,10,9,2016,17,1.0,51.4,50.0,95.0
2016-10-09,10,9,2016,18,1.0,51.1,48.9,92.0
2016-10-09,10,9,2016,19,0.0,50.55,50.0,98.0
2016-10-09,10,9,2016,20,0.0,50.0,48.0,93.0
2016-10-09,10,9,2016,21,0.0,50.0,48.3,94.0
2016-10-09,10,9,2016,22,0.0,50.0,46.9,89.0
2016-10-09,10,9,2016,23,0.0,50.0,46.9,89.0
2016-10-10,10,10,2016,0,0.0,48.9,44.1,83.0
2016-10-10,10,10,2016,1,0.0,46.9,41.0,80.0
2016-10-10,10,10,2016,2,0.0,46.0,39.0,76.0
2016-10-10,10,10,2016,3,0.0,45.0,37.9,76.0
2016-10-10,10,10,2016,4,0.0,45.0,37.0,74.0
2016-10-10,10,10,2016,5,0.0,45.0,37.0,74.0
2016-10-10,10,10,2016,6,0.0,45.0,36.0,71.0
2016-10-10,10,10,2016,7,1.0,46.0,36.0,68.0
2016-10-10,10,10,2016,8,1.0,48.0,35.1,61.0
2016-10-10,10,10,2016,9,1.0,50.0,35.1,57.0
2016-10-10,10,10,2016,10,1.0,52.0,35.1,53.0
2016-10-10,10,10,2016,11,1.0,54.0,35.1,49.0
2016-10-10,10,10,2016,12,1.0,55.9,35.1,45.0
2016-10-10,10,10,2016,13,1.0,57.0,34.0,42.0
2016-10-10,10,10,2016,14,1.0,57.9,34.0,41.0
2016-10-10,10,10,2016,15,1.0,57.9,34.0,41.0
2016-10-10,10,10,2016,16,1.0,57.9,33.1,39.0
2016-10-10,10,10,2016,17,1.0,55.0,33.1,43.0
2016-10-10,10,10,2016,18,1.0,53.1,34.0,48.0
2016-10-10,10,10,2016,19,0.0,52.0,34.0,50.0
2016-10-10,10,10,2016,20,0.0,50.0,33.1,52.0
2016-10-10,10,10,2016,21,0.0,48.9,34.0,56.0
2016-10-10,10,10,2016,22,0.0,48.0,33.1,56.0
2016-10-10,10,10,2016,23,0.0,46.9,33.1,59.0
2016-10-11,10,11,2016,0,0.0,46.0,33.1,61.0
2016-10-11,10,11,2016,1,0.0,45.0,33.1,63.0
2016-10-11,10,11,2016,2,0.0,45.0,33.1,63.0
2016-10-11,10,11,2016,3,0.0,44.1,33.1,65.0
2016-10-11,10,11,2016,4,0.0,44.1,33.1,65.0
2016-10-11,10,11,2016,5,0.0,44.1,33.1,65.0
2016-10-11,10,11,2016,6,0.0,44.1,33.1,65.0
2016-10-11,10,11,2016,7,1.0,45.0,34.0,65.0
2016-10-11,10,11,2016,8,1.0,48.9,34.0,56.0
2016-10-11,10,11,2016,9,1.0,54.0,34.0,47.0
2016-10-11,10,11,2016,10,1.0,55.9,32.0,40.0
2016-10-11,10,11,2016,11,1.0,59.0,30.9,35.0
2016-10-11,10,11,2016,12,1.0,57.9,37.0,46.0
2016-10-11,10,11,2016,13,1.0,57.9,30.9,36.0
2016-10-11,10,11,2016,14,1.0,57.9,33.1,39.0
2016-10-11,10,11,2016,15,1.0,57.9,34.0,41.0
2016-10-11,10,11,2016,16,1.0,57.9,35.1,42.0
2016-10-11,10,11,2016,17,1.0,55.9,42.1,60.0
2016-10-11,10,11,2016,18,1.0,55.0,41.0,59.0
2016-10-11,10,11,2016,19,0.0,54.0,43.0,66.0
2016-10-11,10,11,2016,20,0.0,52.0,42.1,69.0
2016-10-11,10,11,2016,21,0.0,52.0,41.0,66.0
2016-10-11,10,11,2016,22,0.0,51.1,39.0,63.0
2016-10-11,10,11,2016,23,0.0,52.0,37.9,59.0
2016-10-12,10,12,2016,0,0.0,48.9,39.0,69.0
2016-10-12,10,12,2016,1,0.0,48.9,42.1,77.0
2016-10-12,10,12,2016,2,0.0,48.9,42.1,77.0
2016-10-12,10,12,2016,3,0.0,48.9,44.1,83.0
2016-10-12,10,12,2016,4,0.0,48.9,45.0,86.0
2016-10-12,10,12,2016,5,0.0,48.9,44.1,83.0
2016-10-12,10,12,2016,6,0.0,48.9,45.0,86.0
2016-10-12,10,12,2016,7,1.0,51.1,46.0,83.0
2016-10-12,10,12,2016,8,1.0,54.0,46.0,75.0
2016-10-12,10,12,2016,9,1.0,55.9,46.9,72.0
2016-10-12,10,12,2016,10,1.0,59.0,48.0,67.0
2016-10-12,10,12,2016,11,1.0,60.1,48.0,64.0
2016-10-12,10,12,2016,12,1.0,61.0,50.0,67.0
2016-10-12,10,12,2016,13,1.0,62.1,48.0,60.0
2016-10-12,10,12,2016,14,1.0,62.1,48.0,60.0
2016-10-12,10,12,2016,15,1.0,61.0,51.1,70.0
2016-10-12,10,12,2016,16,1.0,62.1,53.1,72.0
2016-10-12,10,12,2016,17,1.0,60.1,53.1,78.0
2016-10-12,10,12,2016,18,1.0,59.0,51.1,75.0
2016-10-12,10,12,2016,19,0.0,57.0,51.1,81.0
2016-10-12,10,12,2016,20,0.0,55.9,48.0,75.0
2016-10-12,10,12,2016,21,0.0,54.0,50.0,86.0
2016-10-12,10,12,2016,22,0.0,53.1,51.1,93.0
2016-10-12,10,12,2016,23,0.0,53.1,51.1,93.0
2016-10-13,10,13,2016,0,0.0,52.0,51.1,97.0
2016-10-13,10,13,2016,1,0.0,52.0,51.1,97.0
2016-10-13,10,13,2016,2,0.0,52.0,51.1,97.0
2016-10-13,10,13,2016,3,0.0,54.0,52.0,93.0
2016-10-13,10,13,2016,4,0.0,55.0,53.1,93.0
2016-10-13,10,13,2016,5,0.0,55.0,53.1,93.0
2016-10-13,10,13,2016,6,0.0,55.0,53.1,93.0
2016-10-13,10,13,2016,7,1.0,55.9,54.0,93.0
2016-10-13,10,13,2016,8,1.0,57.9,55.0,90.0
2016-10-13,10,13,2016,9,1.0,63.0,57.9,84.0
2016-10-13,10,13,2016,10,1.0,64.9,57.9,78.0
2016-10-13,10,13,2016,11,1.0,66.45,56.45,70.0
2016-10-13,10,13,2016,12,1.0,69.1,55.0,61.0
2016-10-13,10,13,2016,13,1.0,71.1,55.0,57.0
2016-10-13,10,13,2016,14,1.0,71.1,53.1,53.0
2016-10-13,10,13,2016,15,1.0,70.0,52.0,53.0
2016-10-13,10,13,2016,16,1.0,69.1,51.1,53.0
2016-10-13,10,13,2016,17,1.0,68.0,52.0,56.0
2016-10-13,10,13,2016,18,1.0,64.9,55.9,73.0
2016-10-13,10,13,2016,19,0.0,64.0,55.9,75.0
2016-10-13,10,13,2016,20,0.0,63.0,55.0,75.0
2016-10-13,10,13,2016,21,0.0,61.0,53.1,75.0
2016-10-13,10,13,2016,22,0.0,60.1,52.0,75.0
2016-10-13,10,13,2016,23,0.0,57.9,50.0,75.0
2016-10-14,10,14,2016,0,0.0,55.0,45.0,69.0
2016-10-14,10,14,2016,1,0.0,52.0,39.0,61.0
2016-10-14,10,14,2016,2,0.0,50.0,37.0,61.0
