Date,hour,Temperature,KWH
10/1/2016,0,57.9,123.838038
10/1/2016,1,57.9,123.4808749
10/1/2016,2,57.9,123.1237118
10/1/2016,3,57,120.2740781
10/1/2016,4,57,119.916915
10/1/2016,5,57,119.5597519
10/1/2016,6,57,119.2025888
10/1/2016,7,55.9,251.6675506
10/1/2016,8,55.9,251.3103875
10/1/2016,9,55.9,250.9532244
10/1/2016,10,57,253.1169514
10/1/2016,11,57.45,253.1056408
10/1/2016,12,57.9,252.828112
10/1/2016,13,57.9,252.4709489
10/1/2016,14,57,250.7879162
10/1/2016,15,55.9,248.8102458
10/1/2016,16,55,247.1272131
10/1/2016,17,55,246.77005
10/1/2016,18,55.9,248.9053575
10/1/2016,19,55.9,113.5222616
10/1/2016,20,55,113.3019916
10/1/2016,21,55,114.1114295
10/1/2016,22,55,111.5646338
10/1/2016,23,55,110.1844391
10/2/2016,0,55.45,119.6454258
10/2/2016,1,54,116.5688389
10/2/2016,2,53.1,114.8858062
10/2/2016,3,53.1,114.5286431
10/2/2016,4,54,115.4973496
10/2/2016,5,53.8,114.8455488
10/2/2016,6,54,114.7830234
10/2/2016,7,54,250.0350935
10/2/2016,8,54,248.5113295
10/2/2016,9,55,251.673418
10/2/2016,10,55.9,253.8087255
10/2/2016,11,55.9,253.4515624
10/2/2016,12,55.9,253.0943993
10/2/2016,13,56.45,254.4478726
10/2/2016,14,55.73333333,251.1593665
10/2/2016,15,56.45,253.7335464
10/2/2016,16,57,255.128861
10/2/2016,17,55.9,251.3085838
10/2/2016,18,57,254.3726936
10/2/2016,19,55.9,116.1516253
10/2/2016,20,55.9,115.7944622
10/2/2016,21,55.9,115.4372991
10/2/2016,22,56.45,116.7907724
10/2/2016,23,55.9,114.7229729
10/3/2016,0,55.9,122.9377242
10/3/2016,1,55.9,122.5805611
10/3/2016,2,55.9,122.223398
10/3/2016,3,55.9,119.8201718
10/3/2016,4,55.9,119.4630087
10/3/2016,5,57,122.5271184
10/3/2016,6,57.45,123.4161906
10/3/2016,7,57.9,257.5812941
10/3/2016,8,62.1,267.7309007
10/3/2016,9,64,271.1359402
10/3/2016,10,66,274.443001
10/3/2016,11,66.9,274.7357018
10/3/2016,12,66,273.052669
10/3/2016,13,64.9,270.3571517
10/3/2016,14,64,269.3501247
10/3/2016,15,64,268.9929616
10/3/2016,16,62.1,263.0728303
10/3/2016,17,59,255.6301704
10/3/2016,18,59,255.2730073
10/3/2016,19,59,119.3066109
10/3/2016,20,59.73333333,120.8693235
10/3/2016,21,60.1,122.0553988
10/3/2016,22,59,120.0777284
10/3/2016,23,58.45,118.2343058
10/4/2016,0,59,129.1019176
10/4/2016,1,59,128.7447545
10/4/2016,2,59,130.4754958
10/4/2016,3,57.9,126.6552186
10/4/2016,4,57.9,125.3767521
10/4/2016,5,57.9,125.019589
10/4/2016,6,58.45,124.3060786
10/4/2016,7,60.1,263.8823806
10/4/2016,8,61,265.4762288
10/4/2016,9,62.1,267.4155788
10/4/2016,10,62.55,269.3486032
10/4/2016,11,62.1,268.3404029
10/4/2016,12,61,266.8533277
10/4/2016,13,61,266.4961646
10/4/2016,14,60.1,265.4472965
10/4/2016,15,60.1,265.8079804
10/4/2016,16,57.9,261.5337969
10/4/2016,17,55.9,257.5124099
10/4/2016,18,55,256.7506805
10/4/2016,19,55,120.3117348
10/4/2016,20,54,117.5600798
10/4/2016,21,53.1,115.3864519
10/4/2016,22,52,112.0567699
10/4/2016,23,51.1,109.883142
10/5/2016,0,50,115.8013803
10/5/2016,1,50,116.6108182
10/5/2016,2,50,116.2536551
10/5/2016,3,48,112.0288117
10/5/2016,4,48.9,112.118056
10/5/2016,6,48.9,111.4037298
10/5/2016,7,51.1,250.040384
10/5/2016,8,55,257.5165602
10/5/2016,9,57.9,262.6400858
10/5/2016,10,59,265.2554416
10/5/2016,11,59,264.8982785
10/5/2016,12,60.1,265.7128687
10/5/2016,13,59,264.1839523
10/5/2016,14,59,263.8686304
10/5/2016,15,57.9,261.173113
10/5/2016,16,57,259.4900803
10/5/2016,17,55.9,256.8364041
10/5/2016,18,55,255.1115302
10/5/2016,19,55,120.3117348
10/5/2016,20,55,118.7879707
10/5/2016,21,55,118.4308076
10/5/2016,22,54,115.6791526
10/5/2016,23,52,110.5330059
10/6/2016,0,52,119.9143582
10/6/2016,1,51.1,117.0647245
10/6/2016,2,50,113.2862885
10/6/2016,3,51.1,116.3503983
10/6/2016,4,50,114.3727279
10/6/2016,5,48.9,110.5942919
10/6/2016,6,48.9,111.4037298
10/6/2016,7,52,251.8568488
10/6/2016,8,55,258.6831612
10/6/2016,9,57.9,264.0339386
10/6/2016,10,59,265.2554416
10/6/2016,11,62.1,269.7760969
10/6/2016,12,63,270.7866446
10/6/2016,13,64,271.2923007
10/6/2016,14,66,265.8162386
10/6/2016,15,64,270.5779745
10/6/2016,16,64,270.1789702
10/6/2016,17,63,268.9589879
10/6/2016,18,61,263.9925021
10/6/2016,19,61,127.0629612
10/6/2016,20,60.1,126.3012319
10/6/2016,21,59,123.6893968
10/6/2016,22,57,118.5432501
10/6/2016,23,55.9,115.8895739
10/7/2016,0,54,118.092603
10/7/2016,1,55.9,125.5897689
10/7/2016,2,54,120.3456434
10/7/2016,3,57,128.9727214
10/7/2016,4,54,121.4320827
10/7/2016,5,54,122.9175264
10/7/2016,6,54,122.5603633
10/7/2016,7,57,262.662707
10/7/2016,8,60.1,267.5902751
10/7/2016,9,64,272.8169318
10/7/2016,10,64.9,274.2762335
10/7/2016,11,66,275.0908237
10/7/2016,13,66.9,275.7023671
10/7/2016,14,66,273.0561898
10/7/2016,15,64.9,270.8094264
10/7/2016,16,64.9,269.2856623
10/7/2016,17,63,264.0415368
10/7/2016,18,63,264.8509747
10/7/2016,19,63,130.7271851
10/7/2016,20,62.1,129.0441524
10/7/2016,21,60.1,123.8561644
10/7/2016,22,59,121.2443294
10/7/2016,23,59,122.9750706
10/8/2016,0,57.9,128.8933089
10/8/2016,1,55.9,123.7471621
10/8/2016,2,54,119.1790424
10/8/2016,3,54,118.8218793
10/8/2016,4,54,119.6313171
10/8/2016,5,52,113.3604106
10/8/2016,6,53.1,115.2579194
10/8/2016,7,53.1,247.5426229
10/8/2016,8,55.9,254.5230517
10/8/2016,9,57.9,256.8669679
10/8/2016,10,59,258.1303121
10/8/2016,11,63,267.3511164
10/8/2016,12,64,269.3884451
10/8/2016,13,64,268.9894409
10/8/2016,14,63.5,265.2962634
10/8/2016,15,64.9,267.1242129
10/8/2016,16,65.9,268.2402383
10/8/2016,17,66.9,270.5228646
10/8/2016,18,66.9,270.1657015
10/8/2016,19,66.45,134.1196708
10/8/2016,20,66,132.5162724
10/8/2016,21,64.9,129.8625962
10/8/2016,22,64.9,129.5054331
10/8/2016,23,64,125.4891984
10/9/2016,0,63,130.1846982
10/9/2016,1,63.95,131.8103646
10/9/2016,2,64,130.9435604
10/9/2016,3,64,133.7990615
10/9/2016,4,63,129.9226467
10/9/2016,5,63,129.5654836
10/9/2016,6,62,127.7351321
10/9/2016,7,59,256.2344349
10/9/2016,8,57,252.9308948
10/9/2016,9,57,252.5737317
10/9/2016,10,55,251.3162549
10/9/2016,11,55,250.9590918
10/9/2016,12,54,247.082677
10/9/2016,13,54,247.8921149
10/9/2016,14,53.1,247.4265473
10/9/2016,15,52.55,245.9420482
10/9/2016,16,52,243.8742487
10/9/2016,17,51.4,243.6562041
10/9/2016,18,51.1,244.2689831
10/9/2016,19,50.55,105.9577856
10/9/2016,20,50,106.8573527
10/9/2016,21,50,106.1113226
10/9/2016,22,50,107.943792
10/9/2016,23,50,107.5866289
10/10/2016,0,48.9,116.7593726
10/10/2016,1,46.9,114.1318383
10/10/2016,2,46,114.2495712
10/10/2016,3,45,112.173922
10/10/2016,4,45,111.8586001
10/10/2016,5,45,111.501437
10/10/2016,6,45,112.0655773
10/10/2016,7,46,248.5455383
10/10/2016,8,48,251.8944403
10/10/2016,9,50,254.0767413
10/10/2016,10,52,256.2590423
10/10/2016,11,54,258.4413433
10/10/2016,12,55.9,260.721623
10/10/2016,13,57,259.9626994
10/10/2016,14,57.9,259.8484873
10/10/2016,15,57.9,259.4913242
10/10/2016,16,57.9,259.1760023
